instruction,intent,response
"Where is my order?",track_order,"You can track your order in real time by visiting the 'Order Tracking' page and entering your order number and email address."
"How do I track my package?",track_order,"Once your order ships, we email you a tracking link. You can also find it under 'My Orders' in your account."
"Can you give me an update on my shipment?",track_order,"Sure, please share your order number and I can look up the latest tracking status for you."
"My tracking number isn't working.",track_order,"Tracking numbers can take up to 24 hours to activate after the order ships. If it's still not working after that, please contact support with your order number."
"I want to know the status of order #12345.",track_order,"Let me check that for you. Please confirm the email address used for the order so I can pull up the details."
"Has my order shipped yet?",order_status,"Orders typically ship within 1-2 business days. You'll receive an email confirmation with tracking details once it ships."
"Is my order still processing?",order_status,"Yes, orders are marked 'processing' until they leave our warehouse, which usually takes 24-48 hours."
"Why hasn't my order status changed?",order_status,"Status updates can be delayed during high-volume periods. If there's been no change after 3 business days, please reach out with your order number for a manual check."
"What does order confirmed mean?",order_status,"'Order confirmed' means we've received your order and payment, and it's now being prepared for shipment."
"Can I check my order history?",order_status,"Yes, you can view all past and current orders under 'My Orders' in your account dashboard."
"How do I cancel my order?",cancel_order,"You can cancel your order from 'My Orders' within 1 hour of placing it, as long as it hasn't shipped yet."
"I want to cancel order #98765.",cancel_order,"I can help with that. Orders can only be cancelled before they ship, let me check the current status of #98765 for you."
"Can I cancel after it's shipped?",cancel_order,"Once an order has shipped, it can no longer be cancelled, but you can request a return once it arrives."
"Is there a fee for cancelling my order?",cancel_order,"No, cancelling an order before it ships is free of charge."
"How long does a cancellation take to process?",cancel_order,"Cancellations are usually processed within a few minutes, and any refund is issued within 3-5 business days."
"Can I change the item in my order?",change_order,"If your order hasn't shipped yet, we can update the item, please contact support with your order number as soon as possible."
"I need to change my order quantity.",change_order,"Quantity changes are possible before the order ships. Reply with your order number and the new quantity you'd like."
"How do I add an item to an existing order?",change_order,"Unfortunately items can't be added to an existing order, but you're welcome to place a new order for the additional item."
"Can I change my payment method after placing an order?",change_order,"Once an order is placed, the payment method can't be changed, but you can contact support if the payment failed and needs to be retried."
"I selected the wrong size, can I fix it?",change_order,"If the order hasn't shipped yet, we can update the size for you, just share your order number."
"I want a refund for my order.",refund_request,"I'm sorry to hear that. Refunds are available within 30 days of delivery, please share your order number and reason for the refund."
"How long does a refund take?",refund_request,"Refunds are typically processed within 5-7 business days after we receive the returned item."
"My refund hasn't arrived yet.",refund_request,"Refunds can take a few extra days to appear depending on your bank. If it's been more than 10 business days, please contact support with your order number."
"Can I get a partial refund?",refund_request,"Yes, partial refunds are available if only part of your order is being returned or was faulty."
"Do I get a refund or store credit?",refund_request,"You can choose either a refund to your original payment method or store credit during the return process."
"What is your return policy?",return_policy,"Items can be returned within 30 days of delivery, provided they're unused and in original packaging."
"Can I return a used item?",return_policy,"Used or opened items are generally not eligible for return unless they arrived damaged or defective."
"Do I need the original packaging to return something?",return_policy,"Yes, please return items in their original packaging with all tags attached whenever possible."
"Who pays for return shipping?",return_policy,"Return shipping is free for defective or incorrect items; for other returns, a small shipping fee may apply."
"How do I start a return?",return_policy,"Go to 'My Orders', select the item, and click 'Start a Return' to get a prepaid shipping label."
"My order is late.",delivery_delay,"I'm sorry for the delay. Please share your order number so I can check the latest carrier update."
"Why is my delivery taking so long?",delivery_delay,"Delays can happen due to weather, high demand, or carrier issues. Let me look into your specific order for more detail."
"My package says delivered but I never got it.",delivery_delay,"I'm sorry to hear that. Please check with neighbors or your building office first, and if it's still missing after 24 hours, contact support for a replacement or refund."
"Can you expedite my delayed order?",delivery_delay,"We can't expedite an order already in transit, but we can offer a refund on shipping fees or a replacement if it doesn't arrive."
"It's been 2 weeks and I still don't have my order.",delivery_delay,"That's longer than expected and I apologize. Please share your order number so we can investigate with the carrier and arrange a resolution."
"My payment didn't go through.",payment_failed,"Sorry about that. Please check your card details and try again, or use an alternative payment method."
"Why was my card declined?",payment_failed,"Cards can be declined due to insufficient funds, incorrect billing details, or your bank's fraud checks. Please verify with your bank or try another card."
"I was charged twice for one order.",payment_failed,"I apologize for the inconvenience. Duplicate charges are usually reversed automatically within 3-5 business days; please share your order number so we can confirm."
"Can I pay with a different method after checkout?",payment_failed,"Once checkout is complete the payment method can't be changed, but if the payment failed you can retry with a new method."
"Is it safe to enter my card details?",payment_failed,"Yes, all payments are processed through encrypted, PCI-compliant payment gateways."
"Can I get an invoice for my order?",invoice_request,"Yes, you can download your invoice from 'My Orders' by selecting the order and clicking 'Download Invoice'."
"I need a receipt for my purchase.",invoice_request,"Your receipt is emailed automatically after purchase, and you can also find it under 'Order History' in your account."
"Can you send the invoice to a different email?",invoice_request,"Yes, please share the email address you'd like the invoice sent to and we'll resend it."
"My invoice shows the wrong billing address.",invoice_request,"I'm sorry about that. Please share the correct billing address and we'll issue a corrected invoice."
"Do you provide GST or tax invoices?",invoice_request,"Yes, tax invoices are automatically generated and available for download with every order."
"How do I change my shipping address?",change_address,"If your order hasn't shipped yet, you can update the address under 'My Orders'; otherwise please contact support right away."
"I entered the wrong delivery address.",change_address,"No problem, please share the correct address and your order number, and we'll update it if the order hasn't shipped."
"Can I redirect my package to a different address?",change_address,"Redirects depend on the carrier and are not always possible once shipped, but we can try, please share your order number."
"How do I update my saved addresses?",change_address,"You can manage saved addresses under 'Account Settings' then 'Addresses'."
"My package went to my old address.",change_address,"I'm sorry about that. Please share your order number so we can check with the carrier about redirecting or arranging a replacement."
"Is this item back in stock?",product_availability,"Let me check, please share the product name or link and I'll confirm current availability."
"When will this product be restocked?",product_availability,"Restock dates vary by item; you can click 'Notify Me' on the product page to get an alert as soon as it's back."
"Do you have this in a different size?",product_availability,"Availability varies by size, please check the size selector on the product page for current stock."
"Is this product available for international shipping?",product_availability,"Availability for international shipping depends on the item and destination country; please check the product page for shipping options."
"Can I reserve an out-of-stock item?",product_availability,"We don't offer reservations, but you can sign up for a restock notification on the product page."
"How do I talk to a human agent?",contact_support,"You can reach a human agent via live chat during business hours, or by emailing support@example.com."
"What are your support hours?",contact_support,"Our support team is available Monday to Saturday, 9 AM to 9 PM."
"I want to file a complaint.",contact_support,"I'm sorry to hear you've had a bad experience. Please share the details and your order number, and I'll escalate this to our support team."
"How can I speak to a manager?",contact_support,"I can escalate your issue to a supervisor, please share the details of your concern and your order number."
"Is there a phone number I can call?",contact_support,"Yes, you can reach us at our support hotline listed on the 'Contact Us' page during business hours."
"I can't log into my account.",account_login_issue,"Please try resetting your password using the 'Forgot Password' link on the login page."
"I'm not receiving the password reset email.",account_login_issue,"Please check your spam folder first; if it's still missing after 10 minutes, let us know and we'll resend it."
"My account is locked.",account_login_issue,"Accounts get temporarily locked after multiple failed login attempts. Please wait 30 minutes and try again, or reset your password."
"How do I change my account email?",account_login_issue,"You can update your email under 'Account Settings' then 'Personal Info' after verifying your current email."
"Can I merge two accounts?",account_login_issue,"Account merging isn't currently supported, but our support team can help transfer your order history to one account."
"How do I cancel my subscription?",subscription_cancel,"You can cancel anytime under 'Account Settings' then 'Subscriptions' then 'Cancel Subscription'."
"Will I be charged again if I cancel today?",subscription_cancel,"If you cancel before your next billing date, you won't be charged again."
"Can I pause my subscription instead of cancelling?",subscription_cancel,"Yes, you can pause your subscription for up to 3 months under 'Subscription Settings'."
"I cancelled but was still charged.",subscription_cancel,"I'm sorry about that. Please share your account email and the charge date so we can investigate and issue a refund if needed."
"How do I reactivate a cancelled subscription?",subscription_cancel,"You can reactivate anytime from 'Account Settings' then 'Subscriptions' then 'Reactivate'."
